Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,55-64 years,42.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,65-74 years,86.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,75-84 years,116.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,85 years and over,127.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Male,All ages,384.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,5-14 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,55-64 years,19.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,65-74 years,69.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,75-84 years,113.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,85 years and over,250.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Female,All ages,459.0
07/08/2020,02/01/2020,07/04/2020,Rhode Island,Unknown,All ages,
07/08/2020,02/01/2020,07/04/2020,Rhode Island Total,All,All Ages,844.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,15-24 years,
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,35-44 years,
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,45-54 years,12.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,55-64 years,51.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,65-74 years,77.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,75-84 years,121.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,85 years and over,60.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Male,All ages,331.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,35-44 years,
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,45-54 years,15.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,55-64 years,42.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,65-74 years,91.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,75-84 years,87.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,85 years and over,99.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Female,All ages,336.0
07/08/2020,02/01/2020,07/04/2020,South Carolina,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,South Carolina Total,All,All Ages,667.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,45-54 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,55-64 years,13.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,65-74 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,75-84 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,85 years and over,12.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Male,All ages,43.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,15-24 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,25-34 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,45-54 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,55-64 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,65-74 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,75-84 years,
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,85 years and over,21.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Female,All ages,43.0
07/08/2020,02/01/2020,07/04/2020,South Dakota,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,South Dakota Total,All,All Ages,86.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,Under 1 year,
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,35-44 years,10.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,45-54 years,17.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,55-64 years,46.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,65-74 years,73.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,75-84 years,85.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,85 years and over,39.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Male,All ages,275.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,1-4 years,
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,45-54 years,11.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,55-64 years,22.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,65-74 years,44.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,75-84 years,70.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,85 years and over,75.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Female,All ages,229.0
07/08/2020,02/01/2020,07/04/2020,Tennessee,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Tennessee Total,All,All Ages,504.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,Under 1 year,
07/08/2020,02/01/2020,07/04/2020,Texas,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,5-14 years,
07/08/2020,02/01/2020,07/04/2020,Texas,Male,15-24 years,
07/08/2020,02/01/2020,07/04/2020,Texas,Male,25-34 years,21.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,35-44 years,48.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,45-54 years,132.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,55-64 years,292.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,65-74 years,372.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,75-84 years,330.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,85 years and over,241.0
07/08/2020,02/01/2020,07/04/2020,Texas,Male,All ages,1439.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,15-24 years,
07/08/2020,02/01/2020,07/04/2020,Texas,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Texas,Female,35-44 years,28.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,45-54 years,52.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,55-64 years,116.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,65-74 years,191.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,75-84 years,259.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,85 years and over,309.0
07/08/2020,02/01/2020,07/04/2020,Texas,Female,All ages,968.0
07/08/2020,02/01/2020,07/04/2020,Texas,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Texas Total,All,All Ages,2407.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Male,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Male,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Male,55-64 years,19.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,65-74 years,28.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,75-84 years,18.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,85 years and over,17.0
07/08/2020,02/01/2020,07/04/2020,Utah,Male,All ages,92.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,15-24 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Female,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Female,55-64 years,
07/08/2020,02/01/2020,07/04/2020,Utah,Female,65-74 years,13.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,75-84 years,16.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,85 years and over,25.0
07/08/2020,02/01/2020,07/04/2020,Utah,Female,All ages,68.0
07/08/2020,02/01/2020,07/04/2020,Utah,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Utah Total,All,All Ages,160.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,25-34 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,55-64 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,65-74 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,75-84 years,16.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,85 years and over,
07/08/2020,02/01/2020,07/04/2020,Vermont,Male,All ages,33.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,25-34 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,55-64 years,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,65-74 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,75-84 years,
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,85 years and over,
07/08/2020,02/01/2020,07/04/2020,Vermont,Female,All ages,23.0
07/08/2020,02/01/2020,07/04/2020,Vermont,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Vermont Total,All,All Ages,56.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,35-44 years,14.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,45-54 years,51.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,55-64 years,123.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,65-74 years,209.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,75-84 years,271.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,85 years and over,234.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Male,All ages,905.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,25-34 years,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,35-44 years,12.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,45-54 years,18.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,55-64 years,65.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,65-74 years,147.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,75-84 years,238.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,85 years and over,418.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Female,All ages,898.0
07/08/2020,02/01/2020,07/04/2020,Virginia,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Virginia Total,All,All Ages,1803.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,15-24 years,
07/08/2020,02/01/2020,07/04/2020,Washington,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Washington,Male,35-44 years,13.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,45-54 years,30.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,55-64 years,72.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,65-74 years,127.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,75-84 years,165.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,85 years and over,191.0
07/08/2020,02/01/2020,07/04/2020,Washington,Male,All ages,602.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,25-34 years,0.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Washington,Female,45-54 years,16.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,55-64 years,35.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,65-74 years,91.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,75-84 years,139.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,85 years and over,227.0
07/08/2020,02/01/2020,07/04/2020,Washington,Female,All ages,512.0
07/08/2020,02/01/2020,07/04/2020,Washington,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Washington Total,All,All Ages,1114.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,45-54 years,
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,55-64 years,
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,65-74 years,17.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,75-84 years,13.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,85 years and over,12.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Male,All ages,49.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,45-54 years,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,55-64 years,
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,65-74 years,
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,75-84 years,12.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,85 years and over,22.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Female,All ages,45.0
07/08/2020,02/01/2020,07/04/2020,West Virginia,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,West Virginia Total,All,All Ages,94.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,15-24 years,
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,35-44 years,10.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,45-54 years,26.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,55-64 years,58.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,65-74 years,100.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,75-84 years,102.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,85 years and over,92.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Male,All ages,394.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,15-24 years,
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,35-44 years,
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,45-54 years,12.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,55-64 years,34.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,65-74 years,64.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,75-84 years,80.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,85 years and over,136.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Female,All ages,333.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Wisconsin Total,All,All Ages,727.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,25-34 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,55-64 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,65-74 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,75-84 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,85 years and over,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Male,All ages,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,Under 1 year,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,1-4 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,5-14 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,15-24 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,25-34 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,35-44 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,45-54 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,55-64 years,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,65-74 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,75-84 years,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,85 years and over,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Female,All ages,
07/08/2020,02/01/2020,07/04/2020,Wyoming,Unknown,All ages,0.0
07/08/2020,02/01/2020,07/04/2020,Wyoming Total,All,All Ages,18.0
